              MONTHLY POWER PRODUCTION SUMMARY FOR: MAR 2024
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak               48214         593       47621         593       47621
Albeni Falls           13976         183       13793         183       13793
Big Cliff               8225          21        8204          21        8204
Bonneville            422836        2976      419860        2232      420604
Cougar                  5355          82        5273          82        5273
Detroit                25741         187       25554         187       25554
Dexter                     0          18         -18          18         -18
Green Peter             9603          49        9554          49        9554
Hills Creek            10025          46        9979          46        9979
John Day              717395        1631      715764        1142      716253
Lookout Point           5096         119        4977         119        4977
McNary                452922        2229      450693         820      427502
The Dalles            574493         743      573750         550      573943
Chief Joseph          683189        1103      682086        1103      682086
Ice Harbor            202221        1902      200319         380      201841
Little Goose          194242         657      193585         394      193848
Lower Monumental      199997         484      199514         290      199707
Libby                  68956         689       68267         689       68267
Lost Creek             22365         489       21876         215       22150
Lower Granite         192931        1419      191512         568      192364
Foster                  4898          60        4838          60        4838
Grand Coulee         1230589        5776     1224813        5776     1224813
Hungry Horse           25574           0       25574           0       25574

TOTAL                5118844       21457     5097387       15518     5078726
