              MONTHLY POWER PRODUCTION SUMMARY FOR: JAN 2024
                                              Net                     Net
                     Total      Station   Generation     Power    Generation
  Project         Generation      Use       to BPA      Aux Use     to FERC
----------------  ----------  ----------  ----------  ----------  ----------
Dworshak               48229         692       47537         692       47537
Albeni Falls           12284         233       12051         233       12051
Big Cliff              11119          20       11099          20       11099
Bonneville            406914        2976      403938        2232      404682
Cougar                  2189          95        2094          95        2094
Detroit                16399         224       16176         224       16176
Dexter                  2047          24        2023          24        2023
Green Peter            36828          64       36764          64       36764
Hills Creek            10432          50       10382          50       10382
John Day              624478        1780      622697        1246      623232
Lookout Point          37924         164       37760         164       37760
McNary                398866        1248      397618         820      373446
The Dalles            513181         744      512437         551      512630
Chief Joseph          697306        1115      696191        1115      696191
Ice Harbor            131839        1346      130494         269      131570
Little Goose          127240         839      126401         504      126737
Lower Monumental      133009         598      132412         359      132651
Libby                  84874         903       83971         903       83971
Lost Creek             22023         412       21611         181       21842
Lower Granite         116052         697      115355         279      115773
Foster                 11013          70       10943          70       10943
Grand Coulee         1277979        5853     1272126        5853     1272126
Hungry Horse           40723           0       40723           0       40723

TOTAL                4762948       20146     4742802       15946     4722402
